autor,campus,grau,degree_cent,betweenness,closeness,eigenvector,pagerank
JOAO OLIVEIRA RAMOS NETO,CÂMPUS VALPARAÍSO DE GOIÁS,3,0.0037220843672456576,0.010083598485297688,0.11202480830076568,5.161481743477726e-09,0.0011588802631831477
Júlio Cesar Saavedra Vásquez,CÂMPUS GOIÂNIA,3,0.0037220843672456576,0.0008984526015181196,0.1586049560459364,1.7837861255501167e-05,0.0008823519650484146
KAROLINE VICTOR FERNANDES,CÂMPUS GOIÂNIA,2,0.0024813895781637717,0.0,0.13244385866415082,1.608813252187828e-07,0.000577088163079161
KRISTIANE MUNIQUE COSTA E COSTA,CÂMPUS URUAÇU,1,0.0012406947890818859,0.0,0.12154862992388886,3.6058317602492463e-07,0.0003518739480807348
LARISSA STEFANE RODRIGUES DE LIMA,CÂMPUS INHUMAS,1,0.0012406947890818859,0.0,0.11281976152458603,1.1195284562561726e-11,0.0003249797553212722
WANESSA FERREIRA DE SOUSA [VALPARAÍSO DE GOIÁS],CÂMPUS VALPARAÍSO DE GOIÁS,3,0.0037220843672456576,0.0,0.11910818694969033,2.0767162557424956e-08,0.000866838883300683
ANTONIO CESAR COSTA FERREIRA ROSA,CÂMPUS ITUMBIARA,1,0.0012406947890818859,0.0,0.0037996277915632757,1.2052861013495398e-20,0.0005984009841859029
LUANNA ELIS GUIMARAES,CÂMPUS APARECIDA DE GOIÂNIA,1,0.0012406947890818859,0.0,0.0071464019851116625,3.867731820135099e-16,0.0012524040728712615
SERGIO RENAN LOPES TINO,CÂMPUS GOIÂNIA,4,0.004962779156327543,1.1592086257658377e-05,0.11900120354823851,0.00014923318026640185,0.0006373290063547805
PAULO HENRIQUE NEVES PIMENTA,CÂMPUS GOIÂNIA,4,0.004962779156327543,1.1592086257658377e-05,0.11900120354823851,0.00014923318026640185,0.0006373290063547805
ANA CAROLINA ROCHA LISITA,CÂMPUS FORMOSA,1,0.0012406947890818859,0.0,0.002835873803615739,2.230584442180925e-28,0.0008083170436410517
RONNEY FERNANDES CHAGAS,CÂMPUS GOIÂNIA,1,0.0012406947890818859,0.0,0.0012406947890818859,4.5279044868727005e-31,0.0012391573729863693
R.S. Santos,CÂMPUS APARECIDA DE GOIÂNIA,1,0.0012406947890818859,0.0,0.0012406947890818859,4.5279044868727005e-31,0.0012391573729863693
GILMAR AIRES DA SILVA,CÂMPUS URUAÇU,1,0.0012406947890818859,0.0,0.0071464019851116625,1.105066234324314e-16,0.0004905965964974715
THAISA LEMOS DE FREITAS OLIVEIRA,CÂMPUS INHUMAS,1,0.0012406947890818859,0.0,0.08149764606338253,1.2754514982031241e-17,0.0006908877373330291
Jair Araújo Júnior,CÂMPUS GOIÂNIA,1,0.0012406947890818859,0.0,0.12351274700158998,0.00030458826744106295,0.0002687520354486703
